OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,SEG_COMPKEY,STDY_TITLE,STDY_LABEL,YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,Shape,Shape_Length
264,139300040,N,18013,NE NORTHGATE WAY,242,310035,"NE NORTHGATE WAY, E/O 5TH AVE NE; TOTAL FLOW; CH(AGG); 30Jul2012 11:30",18689,9896,1288,1404,18013,"NE NORTHGATE WAY, E/O 5TH AVE NE","310035, 2012-07-30, TOTAL",2012,Y,"NE NORTHGATE WAY, E/O 5TH AVE NE",20075.799999999999272,0.981,19694,19700,"(47.70863703600003, -122.32992812699996)",2973.231958994287197
265,133200100,N,16929,NE 50TH ST,203,310019,"NE 50TH ST, W/O ROOSEVELT WAY NE; TOTAL FLOW; CH(AGG); 02Oct2012 11:30",21877,12175,1505,1810,16929,"NE 50TH ST, W/O ROOSEVELT WAY NE","310019, 2012-10-02, TOTAL",2012,Y,"NE 50TH ST, W/O ROOSEVELT WAY NE",22415.799999999999272,0.978,21923,21900,"(47.66496550700003, -122.32199078299999)",2477.375120751406939
266,133200020,N,15656,NE 50TH ST,187,310007,"N 50TH ST, W/O 1ST AVE NE; TOTAL FLOW; CH(AGG); 26Jun2012 10:15",27363,14758,1834,2108,15656,"N 50TH ST, W/O 1ST AVE NE","310007, 2012-06-26, TOTAL",2012,Y,"N 50TH ST, W/O 1ST AVE NE",28293.600000000002183,0.964,27275,27300,"(47.66503444600005, -122.34020747199997)",4488.895043304141836
267,132850170,N,16854,NE 45TH ST,99,311103,"NE 45TH ST, E/O 16TH AVE NE; TOTAL FLOW; CH(AGG); 04Dec2012 12:00",23487,12797,1596,1822,16854,"NE 45TH ST, E/O 16TH AVE NE","311103, 2012-12-04, TOTAL",2012,Y,"NE 45TH ST, E/O 16TH AVE NE",24118.400000000001455,1.001,24143,24100,"(47.661261953000064, -122.31199330999999)",3377.298854713696528
268,132850100,N,16847,NE 45TH ST,159,310017,"NE 45TH ST, W/O ROOSEVELT WAY NE; TOTAL FLOW; CH(AGG); 02Oct2012 11:15",50011,25454,3099,3410,16847,"NE 45TH ST, W/O ROOSEVELT WAY NE","310017, 2012-10-02, TOTAL",2012,Y,"NE 45TH ST, W/O ROOSEVELT WAY NE",51592,0.978,50457,50500,"(47.66132822800006, -122.32215961099996)",2520.909840262715079
269,6900445,N,2315,16TH AVE S,,,,,,,,,,,,,,,,,,"(47.52733643800008, -122.31478481799996)",2570.378532423168963
270,77850010,R,489760,STEWART ST RAMP,,,,,,,,,,,,,,,,,,"(47.622727087000044, -122.32865945399999)",1118.182210515598854
271,,N,1274,ALAKSAN WAY VI NB ON RP,,,,,,,,,,,,,,,,,,"(47.59239917300005, -122.33549223199998)",183.011077000356153
272,,N,1271,ALASKAN WAY VI SB OFF RP,,,,,,,,,,,,,,,,,,"(47.59476091400006, -122.33457725599999)",1938.703862574255936
273,101100010,N,13189,UNIVERSITY BR,223,310097,"UNIVERSITY BR, SW/O POINT A; TOTAL FLOW; CH(AGG); 19Oct2012 09:00",25280,17978,2261,3227,13189,"UNIVERSITY BR, SW/O POINT A","310097, 2012-10-19, TOTAL",2012,Y,"UNIVERSITY BR, SW/O POINT A",27971.799999999999272,0.978,27356,27400,"(47.65173327200006, -122.32115167299997)",2568.768098750727404
